Question,Category
" Have you ever noticed a coworker violating company policy? If so, how did you handle it?",Morality and Ethics
" Have you ever noticed a manager or boss violating company policy? If so, how did you handle it?",Morality and Ethics
" Have you ever encountered a coworker or boss violating the law, and if so, what did you do?",Morality and Ethics
 Have you ever had a fellow employee throw you under the bus? How did you handle it?,Morality and Ethics
" What would you do if you found a manager showing clear favoritism for one employee, or the opposite?",Morality and Ethics
 Have you ever had the opportunity to duck the blame for something you did? Did you take it?,Morality and Ethics
 Do you own up to your mistakes when you make them?,Morality and Ethics
 What is the biggest mistake you’ve made as part of your job? How did you correct it?,Morality and Ethics
 Have you ever been part of an ethically questionable business? How did you handle it?,Morality and Ethics
 Have you ever violated company policy to solve a problem or do your job?,Morality and Ethics
 Have you ever been told to violate safety regulations to do your job? Did you?,Morality and Ethics
 Have you ever intentionally violated safety policies to do your job?,Morality and Ethics
" Have you ever been asked to perform a task that goes against your personal values, but not company or legal regulations? Did you do it?",Morality and Ethics
 Have you ever calmed down an angry customer? How?,Interactions
 Have you ever been unable to calm down a customer? Why not?,Interactions
 Have you ever had to deal with an irate manager? What did you do?,Interactions
 Have you ever bent company policy to satisfy a customer?,Interactions
 Have you ever been unable to bend company policy and irritated a customer?,Interactions
 How do you handle bring a problem to the attention of a vendor?,Interactions
 What would you do if you discovered a gross mistake with a customer’s order after they’ve paid?,Interactions
 Have you ever had to defend a customer to your superiors? How did you do it?,Interactions
 Tell me about the best review you’ve ever gotten from a customer.,Interactions
 Tell me about the worst review you’ve ever gotten from a customer.,Interactions
 Tell me about a time you’ve had to deal with a client used to exploiting loopholes.,Interactions
 What do you do to verify that the work you produce is accurate and valuable?,Miscellaneous 
 How do you review your work to identify errors before finalizing a project?,Miscellaneous 
 What do you do when you discover a mistake made by a coworker?,Miscellaneous 
 Which would you lean on to make a decision; logic or a gut feeling?,Miscellaneous 
 Tell me about a time where your gut feelings have been wrong.,Miscellaneous 
 Tell me about the most difficult decision you’ve had to make on the job.,Miscellaneous 
 What do you regret most about your previous job?,Miscellaneous 
 What would you say is your greatest challenge as a team leader?,Miscellaneous 
 Have you ever had a time where you’ve proposed a solution to a problem only to have it rejected? What did you do?,Miscellaneous 
 What would you choose if you had to pick between a professional goal and a personal goal?,Miscellaneous 
